addressZZZS,cityZZZS,lat,lon,street,streetAlt,housenumber,housenumberAppendix,city,cityAlt,municipality,zipCode,zipName
POLHOV GRADEC 13,1355 POLHOV GRADEC,46.06521,14.31457,Polhov Gradec,,13,,Polhov Gradec,,Dobrova-Polhov Gradec,1355,Polhov Gradec
PODGORJE 64 A,2381 PODGORJE PRI SLOVENJ GRADCU,46.48078,15.07995,Podgorje,,64,A,Podgorje,,Slovenj Gradec,2381,Podgorje pri Slovenj Gradcu
VREČKOVA ULICA 3,4000 KRANJ,46.23503,14.36105,Vrečkova ulica,,3,,Kranj,,Kranj,4000,Kranj
ULICA BRATOV BABNIK 10,1000 LJUBLJANA,46.07645,14.46600,Ulica bratov Babnik,,10,,Ljubljana,,Ljubljana,1000,Ljubljana
GORENJA VAS - RETEČE 58 B,1215 MEDVODE,46.15128,14.38319,Gorenja vas - Reteče,,58,B,Gorenja vas - Reteče,,Škofja Loka,1215,Medvode
PARTIZANSKA CESTA 63,6210 SEŽANA,45.70583,13.86426,Partizanska cesta,,63,,Sežana,,Sežana,6210,Sežana
TRG 27,8216 MIRNA PEČ,45.85842,15.08385,Trg,,27,,Mirna Peč,,Mirna Peč,8216,Mirna Peč
FRENKOVA ULICA 7,6280 ANKARAN - ANCARANO,45.58296,13.73466,Frenkova ulica,Via Franc Planinc-Frenk,7,,Ankaran,Ancarano,Ankaran,6280,Ankaran - Ancarano
POT NA LISICE 4,4260 BLED,46.36823,14.13080,Pot na Lisice,,4,,Bled,,Bled,4260,Bled
BRIGADIRSKA CESTA 16,1360 VRHNIKA,45.96273,14.30258,Brigadirska cesta,,16,,Verd,,Vrhnika,1360,Vrhnika
NOVI TRG 26 A,1241 KAMNIK,46.22082,14.61321,Novi trg,,26,A,Kamnik,,Kamnik,1241,Kamnik
CELJSKA CESTA 7,3250 ROGAŠKA SLATINA,46.23915,15.63321,Celjska cesta,,7,,Rogaška Slatina,,Rogaška Slatina,3250,Rogaška Slatina
KOMENSKEGA ULICA 19,1000 LJUBLJANA,46.05341,14.51253,Komenskega ulica,,19,,Ljubljana,,Ljubljana,1000,Ljubljana
