cityZZZS,addressZZZS
1000 LJUBLJANA,ALJAŽEVA ULICA 30
1000 LJUBLJANA,AMERIŠKA ULICA 13
1000 LJUBLJANA,AŠKERČEVA CESTA 4
1000 LJUBLJANA,BARVARSKA STEZA 4
1000 LJUBLJANA,BOHORIČEVA ULICA 5
1000 LJUBLJANA,BRAJNIKOVA ULICA 20
1000 LJUBLJANA,BRATOVŠEVA PLOŠČAD 30
1000 LJUBLJANA,CELOVŠKA CESTA 111 C
1000 LJUBLJANA,CELOVŠKA CESTA 142
1000 LJUBLJANA,CELOVŠKA CESTA 280
1000 LJUBLJANA,CELOVŠKA CESTA 4
1000 LJUBLJANA,CELOVŠKA CESTA 42
1000 LJUBLJANA,CESTA LJUBLJANSKE BRIGADE 23
1000 LJUBLJANA,CESTA LJUBLJANSKE BRIGADE 33
1000 LJUBLJANA,CESTA NA BOKALCE 51
1000 LJUBLJANA,CESTA NA BRDO 43
1000 LJUBLJANA,CESTA NA BRDO 63
1000 LJUBLJANA,CESTA NA ROŽNIK 17
1000 LJUBLJANA,CESTA V MESTNI LOG 55
1000 LJUBLJANA,DALMATINOVA ULICA 10
1000 LJUBLJANA,DALMATINOVA ULICA 7
1000 LJUBLJANA,DERČEVA ULICA 35
1000 LJUBLJANA,DERČEVA ULICA 5
1000 LJUBLJANA,DOLENJSKA CESTA 46
1000 LJUBLJANA,DUNAJSKA CESTA 109
1000 LJUBLJANA,DUNAJSKA CESTA 129
1000 LJUBLJANA,DUNAJSKA CESTA 152
1000 LJUBLJANA,DUNAJSKA CESTA 186
1000 LJUBLJANA,DUNAJSKA CESTA 198
1000 LJUBLJANA,DUNAJSKA CESTA 22
1000 LJUBLJANA,DUNAJSKA CESTA 31
1000 LJUBLJANA,DUNAJSKA CESTA 49
1000 LJUBLJANA,DUNAJSKA CESTA 5
1000 LJUBLJANA,DUNAJSKA CESTA 56
1000 LJUBLJANA,DUNAJSKA CESTA 59
1000 LJUBLJANA,DUNAJSKA CESTA 88
1000 LJUBLJANA,EIPPROVA ULICA 3
1000 LJUBLJANA,FILIPIČEVA ULICA 1
1000 LJUBLJANA,FINŽGARJEVA ULICA 4
1000 LJUBLJANA,FRANKOPANSKA ULICA 18
1000 LJUBLJANA,GABRŠČKOVA ULICA 91
1000 LJUBLJANA,GASPARIJEVA ULICA 12
1000 LJUBLJANA,GASPARIJEVA ULICA 2
1000 LJUBLJANA,GLONARJEVA ULICA 4
1000 LJUBLJANA,GOGALOVA ULICA 15
1000 LJUBLJANA,GOSPOSVETSKA CESTA 9
1000 LJUBLJANA,GOTSKA ULICA 18
1000 LJUBLJANA,GREGORČIČEVA ULICA 11
1000 LJUBLJANA,GREGORČIČEVA ULICA 9 A
1000 LJUBLJANA,GROHARJEVA CESTA 11
1000 LJUBLJANA,GRŠKA ULICA 13
1000 LJUBLJANA,HACQUETOVA ULICA 6
1000 LJUBLJANA,HRENOVA ULICA 19
1000 LJUBLJANA,HRUŠEVSKA CESTA 6 A
1000 LJUBLJANA,HUBADOVA ULICA 31
1000 LJUBLJANA,KLANČARJEVA ULICA 13
1000 LJUBLJANA,KOGOVŠKOVA ULICA 1
1000 LJUBLJANA,KOLEZIJSKA ULICA 1 A
1000 LJUBLJANA,KOLEZIJSKA ULICA 25
1000 LJUBLJANA,KOLINSKA ULICA 1
1000 LJUBLJANA,KOMANOVA ULICA 1
1000 LJUBLJANA,KOMENSKEGA ULICA 11
1000 LJUBLJANA,KOMENSKEGA ULICA 19
1000 LJUBLJANA,KOMENSKEGA ULICA 32
1000 LJUBLJANA,KOPITARJEVA ULICA 4
1000 LJUBLJANA,KOPRSKA ULICA 94 A
1000 LJUBLJANA,KORYTKOVA ULICA 29
1000 LJUBLJANA,KORYTKOVA ULICA 30
1000 LJUBLJANA,KOTNIKOVA ULICA 29
1000 LJUBLJANA,KOTNIKOVA ULICA 30
1000 LJUBLJANA,KRŽIČEVA ULICA 10
1000 LJUBLJANA,KUNAVERJEVA ULICA 15
1000 LJUBLJANA,LAMUTOVA ULICA 15
1000 LJUBLJANA,LEPI POT 14
1000 LJUBLJANA,LEVČEVA ULICA 11
1000 LJUBLJANA,LINHARTOVA CESTA 15
1000 LJUBLJANA,LINHARTOVA CESTA 5
1000 LJUBLJANA,LINHARTOVA CESTA 51
1000 LJUBLJANA,LITIJSKA CESTA 161
1000 LJUBLJANA,LITIJSKA CESTA 38
1000 LJUBLJANA,LITIJSKA CESTA 43
1000 LJUBLJANA,LITIJSKA CESTA 47
1000 LJUBLJANA,MALEŠEVA ULICA 36
1000 LJUBLJANA,MAROLTOVA ULICA 11
1000 LJUBLJANA,MARTINČEVA ULICA 30
1000 LJUBLJANA,MATJANOVA POT 5
1000 LJUBLJANA,METELKOVA ULICA 15
1000 LJUBLJANA,METELKOVA ULICA 9
1000 LJUBLJANA,MIRJE 19
1000 LJUBLJANA,MIRJE 2
1000 LJUBLJANA,NOVE FUŽINE 40
1000 LJUBLJANA,OB SOTOČJU 9
1000 LJUBLJANA,OB ZELENI JAMI 3
1000 LJUBLJANA,OPEKARSKA CESTA 11
1000 LJUBLJANA,OPEKARSKA CESTA 30
1000 LJUBLJANA,PARMOVA ULICA 51
1000 LJUBLJANA,PARMOVA ULICA 51 B
1000 LJUBLJANA,PARMOVA ULICA 53
1000 LJUBLJANA,PERIČEVA ULICA 25
1000 LJUBLJANA,PERIČEVA ULICA 29
1000 LJUBLJANA,PERIČEVA ULICA 31
1000 LJUBLJANA,PERIČEVA ULICA 7
1000 LJUBLJANA,PETKOVŠKOVO NABREŽJE 57
1000 LJUBLJANA,PLEŠIČEVA ULICA 15
1000 LJUBLJANA,POD JELŠAMI 20
1000 LJUBLJANA,PODGORNIKOVA ULICA 1
1000 LJUBLJANA,POT NA FUŽINE 3
1000 LJUBLJANA,POT NA HREŠE 10 D
1000 LJUBLJANA,POVŠETOVA ULICA 57
1000 LJUBLJANA,PREGLOV TRG 1
1000 LJUBLJANA,PRIJATELJEVA ULICA 2
1000 LJUBLJANA,PRVOMAJSKA ULICA 5
1000 LJUBLJANA,PUTRIHOVA ULICA 1
1000 LJUBLJANA,RAKUŠEVA ULICA 6
1000 LJUBLJANA,REDELONGHIJEVA ULICA 12
1000 LJUBLJANA,ROŽANSKA ULICA 2
1000 LJUBLJANA,"ROŽNA DOLINA, CESTA IV 45"
1000 LJUBLJANA,"ROŽNA DOLINA, CESTA VII 21 A"
1000 LJUBLJANA,SAVLJE 74 C
1000 LJUBLJANA,SAVSKA CESTA 10
1000 LJUBLJANA,SAVSKA CESTA 2
1000 LJUBLJANA,SAVSKA CESTA 3
1000 LJUBLJANA,SAVSKA CESTA 9
1000 LJUBLJANA,SLOMŠKOVA ULICA 17
1000 LJUBLJANA,SLOMŠKOVA ULICA 35
1000 LJUBLJANA,SLOVENSKA CESTA 54
1000 LJUBLJANA,SREDIŠKA ULICA 21
1000 LJUBLJANA,STOŽICE 7
1000 LJUBLJANA,TABOR 10
1000 LJUBLJANA,TABOR 14
1000 LJUBLJANA,TACENSKA CESTA 120
1000 LJUBLJANA,TBILISIJSKA ULICA 57 B
1000 LJUBLJANA,TBILISIJSKA ULICA 59
1000 LJUBLJANA,TBILISIJSKA ULICA 81
1000 LJUBLJANA,TBILISIJSKA ULICA 89
1000 LJUBLJANA,TEHNOLOŠKI PARK 19
1000 LJUBLJANA,TEHNOLOŠKI PARK 20
1000 LJUBLJANA,TEHNOLOŠKI PARK 21
1000 LJUBLJANA,TIVOLSKA CESTA 48
1000 LJUBLJANA,TOPNIŠKA ULICA 4
1000 LJUBLJANA,TRIGLAVSKA ULICA 6
1000 LJUBLJANA,TRUBARJEVA CESTA 2
1000 LJUBLJANA,TRŽAŠKA CESTA 118
1000 LJUBLJANA,TRŽAŠKA CESTA 133
1000 LJUBLJANA,TRŽAŠKA CESTA 15
1000 LJUBLJANA,TRŽNA ULICA 3
1000 LJUBLJANA,UKMARJEVA ULICA 2
1000 LJUBLJANA,UKMARJEVA ULICA 4
1000 LJUBLJANA,ULICA ALME SODNIK 6
1000 LJUBLJANA,ULICA BRATOV BABNIK 10
1000 LJUBLJANA,ULICA BRATOV UČAKAR 58
1000 LJUBLJANA,ULICA BRATOV UČAKAR 64
1000 LJUBLJANA,ULICA LOJZETA SPACALA 10
1000 LJUBLJANA,URANIČEVA ULICA 4 A
1000 LJUBLJANA,V KLADEH 9
1000 LJUBLJANA,VILHARJEV PODHOD 1
1000 LJUBLJANA,VILHARJEV PODHOD 18
1000 LJUBLJANA,VILHARJEV PODHOD 7
1000 LJUBLJANA,VILHARJEVA CESTA 25
1000 LJUBLJANA,VILHARJEVA CESTA 27
1000 LJUBLJANA,VODNIKOVA CESTA 187
1000 LJUBLJANA,VODNIKOVA CESTA 56
1000 LJUBLJANA,VODOVODNA CESTA 100
1000 LJUBLJANA,VODOVODNA CESTA 109
1000 LJUBLJANA,VODOVODNA CESTA 99 A
1000 LJUBLJANA,VOJKOVA CESTA 74
1000 LJUBLJANA,"VRHOVCI, CESTA XVIII 3"
1000 LJUBLJANA,VURNIKOVA ULICA 9
1000 LJUBLJANA,ZALOŠKA CESTA 149
1000 LJUBLJANA,ZALOŠKA CESTA 159
1000 LJUBLJANA,ZALOŠKA CESTA 167
1000 LJUBLJANA,ZALOŠKA CESTA 2
1000 LJUBLJANA,ZALOŠKA CESTA 269
1000 LJUBLJANA,ZALOŠKA CESTA 69
1000 LJUBLJANA,ZARNIKOVA ULICA 11
1000 LJUBLJANA,ZDRAVSTVENA POT 1
1000 LJUBLJANA,ZIHERLOVA ULICA 38
1000 LJUBLJANA,ČUČKOVA ULICA 17
1000 LJUBLJANA,ŠARHOVA ULICA 20
1000 LJUBLJANA,ŠESTOVA ULICA 10
1000 LJUBLJANA,ŠIŠENSKA CESTA 44
1000 LJUBLJANA,ŠLAJMERJEVA ULICA 6
1000 LJUBLJANA,ŽELEZNA CESTA 10
1000 LJUBLJANA,ŽELEZNA CESTA 16
1000 LJUBLJANA,ŽIDOVSKA ULICA 1
