zzzsSt,vrsta,oe,tip,sifOe,naziv,naslov,posta,tel,splStran,popravljeno
666769,Javni,OE CELJE,Bolnišnica,210000,PSIHIATRIČNA BOLNIŠNICA VOJNIK,CELJSKA CESTA 37,3212 VOJNIK,03 780 01 00,www.pb-vojnik.si,2021-04-14T23:11:11Z
104396,Javni,OE CELJE,Bolnišnica,210000,SPLOŠNA BOLNIŠNICA CELJE,OBLAKOVA ULICA 5,3000 CELJE,03 423 30 00,https://www.sb-celje.si,2021-04-14T23:11:10Z
89122,Javni,OE CELJE,Lekarna,210000,CELJSKE LEKARNE JAVNI LEKARNIŠKI ZAVOD,MIKLOŠIČEVA ULICA 1,3000 CELJE,03 425 02 60,www.lekarnanaklik.si,2021-03-15T00:11:14Z
828940,Javni,OE CELJE,Lekarna,210000,ŽALSKE LEKARNE ŽALEC,PREŠERNOVA ULICA 6,3310 ŽALEC,(03) 712-02-50,http://www.lekarna-zalec.si/,2021-03-15T00:11:15Z
119034,Javni,OE CELJE,Posebni zavod,210000,"CENTER ZA USPOSABLJANJE, DELO IN VARSTVO DOBRNA",LOKOVINA 13 A,3204 DOBRNA,03 780 10 00,www.centerdobrna.si,2021-03-10T07:49:48Z
119020,Javni,OE CELJE,Posebni zavod,210000,CENTER ZA VARSTVO IN DELO GOLOVEC CELJE,NA GOLOVCU 2,3000 CELJE,03 425 78 50,www.cvd-golovec.si,2022-03-27T23:11:17Z
94610,Javni,OE CELJE,Posebni zavod,210000,DOM NINE POKORN GRMOVJE,PERNOVO 4 A,3310 ŽALEC,03 713 29 00,www.dnpg.si,2021-03-10T07:49:47Z
3795244,Javni,OE CELJE,Posebni zavod,210000,VARSTVENO DELOVNI CENTER ŠENTJUR,LJUBLJANSKA CESTA 6 B,3230 ŠENTJUR,03 746 26 50,http://www.vdc-sentjur.si/,2021-03-10T07:50:14Z
82201,Javni,OE CELJE,Socialni zavod,210000,DOM OB SAVINJI CELJE,JURČIČEVA ULICA 6,3000 CELJE,03 427 95 00,www.domobsavinji.si,2021-03-10T07:49:43Z
3041418,Javni,OE CELJE,Socialni zavod,210000,DOM STAREJŠIH ŠENTJUR,SVETINOVA ULICA 1,3230 ŠENTJUR,03 746 17 00,https://www.dom-starejsih-sentjur.si/,2021-03-10T07:49:59Z
94624,Javni,OE CELJE,Socialni zavod,210000,DOM UPOKOJENCEV POLZELA,POT V ŠENEK 7,3313 POLZELA,(03) 703 34 00,www.dupolzela.si,2021-03-10T07:49:47Z
94442,Javni,OE CELJE,Socialni zavod,210000,DOM UPOKOJENCEV ŠMARJE PRI JELŠAH,RAKEŽEVA ULICA 8,3240 ŠMARJE PRI JELŠAH,03 81 71 460,www.dusmarje.si,2021-03-10T07:49:47Z
94439,Javni,OE CELJE,Socialni zavod,210000,"LAMBRECHTOV DOM, SLOVENSKE KONJICE",ŠOLSKA ULICA 4,3210 SLOVENSKE KONJICE,03 434 62 98,https://www.lambrechtov-dom.si/,2021-03-10T07:49:47Z
604816,Javni,OE CELJE,Zdravstveni dom,210000,ZDRAVSTVENI DOM CELJE,GREGORČIČEVA ULICA 5,3000 CELJE,(03) 543 40 00,www.zd-celje.si,2021-03-10T07:49:51Z
622008,Javni,OE CELJE,Zdravstveni dom,210000,ZDRAVSTVENI DOM DR. JOŽETA POTRATE ŽALEC,PREŠERNOVA ULICA 6,3310 ŽALEC,03 713 43 00,www.zd-zalec.si,2021-03-10T07:49:52Z
664360,Javni,OE CELJE,Zdravstveni dom,210000,ZDRAVSTVENI DOM LAŠKO,KIDRIČEVA ULICA 5 B,3270 LAŠKO,03 734 36 00,www.zd-lasko.si,2021-03-10T07:49:52Z
664356,Javni,OE CELJE,Zdravstveni dom,210000,ZDRAVSTVENI DOM RADEČE,ULICA OF 8,1433 RADEČE,03 568 02 00,www.zd-radece.si,2021-03-10T07:49:52Z
616450,Javni,OE CELJE,Zdravstveni dom,210000,ZDRAVSTVENI DOM SLOVENSKE KONJICE,MESTNI TRG 17,3210 SLOVENSKE KONJICE,03 758 17 00,www.zd-slovenskekonjice.si,2021-03-10T07:49:52Z
616369,Javni,OE CELJE,Zdravstveni dom,210000,ZDRAVSTVENI DOM ŠENTJUR,CESTA LEONA DOBROTINŠKA 3 B,3230 ŠENTJUR,(03) 746 24 00,www.zd-sentjur.si,2021-03-10T07:49:51Z
616386,Javni,OE CELJE,Zdravstveni dom,210000,ZDRAVSTVENI DOM ŠMARJE PRI JELŠAH,CELJSKA CESTA 16,3240 ŠMARJE PRI JELŠAH,(03) 818 37 00,www.zd-smarje.si,2021-03-10T07:49:52Z
92623,Javni,OE KOPER,Bolnišnica,220000,BOLNIŠNICA SEŽANA,CANKARJEVA ULICA 4,6210 SEŽANA,05 707 40 00,http://www.bolnisnica-sezana.si/,2021-03-10T07:49:47Z
751745,Javni,OE KOPER,Bolnišnica,220000,BOLNIŠNICA ZA ŽENSKE BOLEZNI IN PORODNIŠTVO POSTOJNA,PREČNA ULICA 4,6230 POSTOJNA,05 700 07 25,www.bolnisnica-po.si,2021-03-10T07:49:53Z
89491,Javni,OE KOPER,Bolnišnica,220000,ORTOPEDSKA BOLNIŠNICA VALDOLTRA OSPEDALE ORTOPEDICO VALDOLTRA,JADRANSKA CESTA 31,6280 ANKARAN - ANCARANO,05 669 61 00,https://www.ob-valdoltra.si,2021-03-10T07:49:45Z
3180983,Javni,OE KOPER,Bolnišnica,220000,SPLOŠNA BOLNIŠNICA IZOLA OSPEDALE GENERALE ISOLA,POLJE 40,6310 IZOLA - ISOLA,05 660 60 00,https://www.sb-izola.si/,2021-03-10T07:50:05Z
