zzzsSt,vrsta,oe,tip,sifOe,naziv,naslov,posta,tel,splStran
104396,Javni,OE CELJE,Bolnišnica,210000,SPLOŠNA BOLNIŠNICA CELJE,OBLAKOVA ULICA 5,3000 CELJE,03 423 30 00,https://www.sb-celje.si
604816,Javni,OE CELJE,Zdravstveni dom,210000,ZDRAVSTVENI DOM CELJE,GREGORČIČEVA ULICA 5,3000 CELJE,(03) 543 40 00,http://www.zd-celje.si
622008,Javni,OE CELJE,Zdravstveni dom,210000,ZDRAVSTVENI DOM DR. JOŽETA POTRATE ŽALEC,PREŠERNOVA ULICA 6,3310 ŽALEC,03 713 43 00,http://www.zd-zalec.si
664360,Javni,OE CELJE,Zdravstveni dom,210000,ZDRAVSTVENI DOM LAŠKO,KIDRIČEVA ULICA 5 B,3270 LAŠKO,03 734 36 00,http://www.zd-lasko.si
664356,Javni,OE CELJE,Zdravstveni dom,210000,ZDRAVSTVENI DOM RADEČE,ULICA OF 8,1433 RADEČE,03 568 02 00,http://www.zd-radece.si
616450,Javni,OE CELJE,Zdravstveni dom,210000,ZDRAVSTVENI DOM SLOVENSKE KONJICE,MESTNI TRG 17,3210 SLOVENSKE KONJICE,03 758 17 00,http://www.zd-slovenskekonjice.si
616369,Javni,OE CELJE,Zdravstveni dom,210000,ZDRAVSTVENI DOM ŠENTJUR,CESTA LEONA DOBROTINŠKA 3 B,3230 ŠENTJUR,(03) 746 24 00,http://www.zd-sentjur.si
616386,Javni,OE CELJE,Zdravstveni dom,210000,ZDRAVSTVENI DOM ŠMARJE PRI JELŠAH,CELJSKA CESTA 16,3240 ŠMARJE PRI JELŠAH,03 818 37 00,http://www.zd-smarje.si
751745,Javni,OE KOPER,Bolnišnica,220000,BOLNIŠNICA ZA ŽENSKE BOLEZNI IN PORODNIŠTVO POSTOJNA,PREČNA ULICA 4,6230 POSTOJNA,05 700 07 25,http://www.bolnisnica-po.si
3180983,Javni,OE KOPER,Bolnišnica,220000,SPLOŠNA BOLNIŠNICA IZOLA OSPEDALE GENERALE ISOLA,POLJE 40,6310 IZOLA - ISOLA,05 660 60 00,https://www.sb-izola.si/
751699,Javni,OE KOPER,Zdravstveni dom,220000,"ZDRAVSTVENI DOM DR. FRANCA AMBROŽIČA, POSTOJNA",PREČNA ULICA 2,6230 POSTOJNA,05 700 04 00,http://www.zd-po.si
751640,Javni,OE KOPER,Zdravstveni dom,220000,ZDRAVSTVENI DOM ILIRSKA BISTRICA,GREGORČIČEVA CESTA 8,6250 ILIRSKA BISTRICA,05 711 21 00,http://www.zdib.si
724180,Javni,OE KOPER,Zdravstveni dom,220000,ZDRAVSTVENI DOM IZOLA,ULICA OKTOBRSKE REVOLUCIJE 11,6310 IZOLA - ISOLA,05 663 50 50,https://www.zd-izola.si/
705728,Javni,OE KOPER,Zdravstveni dom,220000,ZDRAVSTVENI DOM KOPER CASA DELLA SANITA CAPODISTRIA,DELLAVALLEJEVA ULICA 3,6000 KOPER - CAPODISTRIA,05 664 71 00,https://www.zd-koper.si/
710804,Javni,OE KOPER,Zdravstveni dom,220000,ZDRAVSTVENI DOM PIRAN POLIAMBULATORIO PIRANO,CESTA SOLINARJEV 1,6320 PORTOROŽ - PORTOROSE,05 620 72 32,http://www.zd-piran.si
141762,Javni,OE KOPER,Zdravstveni dom,220000,ZDRAVSTVENI DOM SEŽANA,PARTIZANSKA CESTA 24,6210 SEŽANA,05 731 14 00,https://www.zd-sezana.si/
89582,Javni,OE KRANJ,Bolnišnica,240000,BOLNIŠNICA ZA GINEKOLOGIJO IN PORODNIŠTVO KRANJ,KIDRIČEVA CESTA 38 A,4000 KRANJ,04 208 28 00,https://www.bolnisnica-kranj.si/
89383,Javni,OE KRANJ,Bolnišnica,240000,SPLOŠNA BOLNIŠNICA JESENICE,CESTA MARŠALA TITA 112,4270 JESENICE,04 586 80 00,http://www.sb-je.si
203384,Javni,OE KRANJ,Zdravstveni dom,240000,OSNOVNO ZDRAVSTVO GORENJSKE,GOSPOSVETSKA ULICA 9,4000 KRANJ,,https://www.ozg-kranj.si/
140506,Javni,OE KRŠKO,Bolnišnica,230000,SPLOŠNA BOLNIŠNICA BREŽICE,ČERNELČEVA CESTA 15,8250 BREŽICE,,https://www.sb-brezice.si/
95801,Javni,OE KRŠKO,Zdravstveni dom,230000,ZDRAVSTVENI DOM BREŽICE,ČERNELČEVA CESTA 8,8250 BREŽICE,074 991 400,https://www.zd-brezice.si/
91770,Javni,OE KRŠKO,Zdravstveni dom,230000,ZDRAVSTVENI DOM KRŠKO,CESTA KRŠKIH ŽRTEV 132 C,8270 KRŠKO,074 880 200,http://www.zd-krsko.si/
622056,Javni,OE KRŠKO,Zdravstveni dom,230000,ZDRAVSTVENI DOM SEVNICA,TRG SVOBODE 14,8290 SEVNICA,078 161 500,https://www.zd-sevnica.si/
92699,Javni,OE LJUBLJANA,Bolnišnica,250000,SPLOŠNA BOLNIŠNICA TRBOVLJE,RUDARSKA CESTA 9,1420 TRBOVLJE,(03) 565 25 00,http://www.sb-trbovlje.si/
96838,Javni,OE LJUBLJANA,Bolnišnica,250000,UNIVERZITETNI KLINIČNI CENTER LJUBLJANA,ZALOŠKA CESTA 2,1000 LJUBLJANA,,http://www.kclj.si
82368,Javni,OE LJUBLJANA,Posebni zavod,250000,"CENTER ZA IZOBRAŽEVANJE, REHABILITACIJO IN USPOSABLJANJE KAMNIK",NOVI TRG 43 A,1241 KAMNIK,,http://www.cirius-kamnik.si/
488940,Javni,OE LJUBLJANA,Zdravstveni dom,250000,ZDRAVSTVENI DOM DOMŽALE,MESTNI TRG 2,1230 DOMŽALE,,https://www.zd-domzale.si
199049,Javni,OE LJUBLJANA,Zdravstveni dom,250000,ZDRAVSTVENI DOM DR. BOŽIDARJA LAVRIČA - CERKNICA,CESTA 4. MAJA 17,1380 CERKNICA,(01) 70 50 100,http://www.zd-cerknica.si/
205431,Javni,OE LJUBLJANA,Zdravstveni dom,250000,ZDRAVSTVENI DOM DR. JANEZA ORAŽMA RIBNICA,MAJNIKOVA ULICA 1,1310 RIBNICA,(01) 837 22 00,https://www.zdribnica.si/
96292,Javni,OE LJUBLJANA,Zdravstveni dom,250000,ZDRAVSTVENI DOM DR. JULIJA POLCA KAMNIK,NOVI TRG 26,1241 KAMNIK,,http://www.zdkamnik.si
2817672,Javni,OE LJUBLJANA,Zdravstveni dom,250000,ZDRAVSTVENI DOM GROSUPLJE,POD GOZDOM CESTA I 14,1290 GROSUPLJE,,http://sl.zd-grosuplje.si/
